Topic	Title	Last modification	To keep	Deprecated
Assembly	Assembly of the mitochondrial genome from PacBio HiFi reads	2026-04-22	True	False
Assembly	Unicycler assembly of SARS-CoV-2 genome with preprocessing to remove human genome reads	2025-05-15	True	False
Assembly	ERGA post-assembly QC	2025-06-04	True	False
Assembly	Using the VGP workflows to assemble a vertebrate genome with HiFi and Hi-C data	2026-05-18	True	False
Assembly	Decontamination of a genome assembly	2025-06-04	True	False
Assembly	Vertebrate genome assembly using HiFi, Bionano and Hi-C data - Step by Step	2026-04-13	True	False
Assembly	Chloroplast genome assembly	2026-01-23	True	False
Assembly	Large genome assembly and polishing	2026-01-23	True	False
Assembly	Genome Assembly Quality Control	2025-06-04	True	False
Assembly	Unicycler Assembly	2026-01-23	True	False
Assembly	Genome assembly using PacBio data	2025-06-04	True	False
Climate	Getting your hands-on earth data	2025-05-10	True	False
Ecology	Life Traits Ecoregionalization workflow	2026-05-07	True	False
Ecology	Species distribution modeling	2026-05-07	True	False
Ecology	RAD-Seq de-novo data analysis	2026-05-07	True	False
Ecology	Creating FAIR Quality assessment reports and draft of Data Papers from EML metadata with MetaShRIMPS	2026-05-07	True	False
Ecology	Obis marine indicators	2026-05-19	True	False
Ecology	Champs blocs indicators	2026-05-07	True	False
Ecology	Cleaning GBIF data for the use in Ecology	2025-06-03	True	False
Ecology	Marine Omics identifying biosynthetic gene clusters	2025-06-03	True	False
Ecology	Preparing genomic data for phylogeny reconstruction	2025-06-03	True	False
Ecology	RAD-Seq to construct genetic maps	2026-05-07	True	False
Ecology	Sentinel 2 biodiversity	2025-12-08	True	False
Ecology	Taxonomic Analysis of eDNA	2026-05-07	True	False
Ecology	Regional GAM	2026-05-07	True	False
Ecology	Ecoregionalization workflow tutorial	2026-05-22	True	False
Ecology	Creating metadata using Ecological Metadata Language (EML) standard with EML Assembly Line functionalities	2026-05-07	True	False
Ecology	Metabarcoding/eDNA through Obitools	2026-05-07	True	False
Ecology	Biodiversity data exploration	2026-04-24	True	False
Ecology	Data submission using ENA upload Tool	2026-07-24	True	False
Ecology	Compute and analyze biodiversity metrics with PAMPA toolsuite	2026-05-07	True	False
Ecology	Phylodiversity analysis quick tutorial	2026-05-07	True	False
Ecology	RAD-Seq Reference-based data analysis	2026-05-07	True	False
Ecology	Cleaning GBIF data using OpenRefine	2026-05-07	True	False
Ecology	Audio data annotation with NEAL (Nature + Energy Audio labeler)	2025-11-06	True	False
Ecology	QGIS Web Feature Services	2026-05-07	True	False
Ecology	Object detection with YOLO	2026-05-08	True	False
Genome Annotation	Comparison of two annotation tools - Helixer and Braker3	2025-06-25	True	False
Genome Annotation	Masking repeats with RepeatMasker	2025-06-03	True	False
Genome Annotation	Refining Genome Annotations with Apollo (prokaryotes)	2025-05-15	True	False
Genome Annotation	Genome annotation with Braker3	2026-07-30	True	False
Genome Annotation	Genome annotation with Helixer	2025-06-04	True	False
Genome Annotation	Genome annotation with Funannotate	2025-06-10	True	False
Genome Annotation	Comparative gene analysis in unannotated genomes	2025-06-03	True	False
Genome Annotation	Functional annotation of protein sequences	2025-06-03	True	False
Genome Annotation	Refining Genome Annotations with Apollo (eukaryotes)	2025-06-03	True	False
Imaging	AI pipeline for annotating marine species (Project Moorev - Marine)	2026-07-27	True	False
